Carrosserie;Code_vehicule;Alimentation;Boite_vitesse;Date_debut_comerc;Date_fin_comerc;Groupe_vehicule;Classe_vehicule;Puissance_vehicule
BERLINE;AR08035;GO;M;15112011;1062012.0;34;N;9.0
BERLINE;FO08452;ES;M;23092002;1062008.0;31;G;6.0
FOURGONNETTE;FO08429;GO;M;2000;2001.0;30;G;7.0
BERLINE;SK07123;ES;M;1112005;1012006.0;29;G;5.0
FOURGONNETTE;FO15213;GO;M;1995;13071998.0;30;J;10.0
CAMIONNETTE;BE01016;ES;M;1986;1988.0;29;E;11.0
BERLINE;CI53003;ES;M;12042008;1102009.0;32;L;8.0
CAMIONNETTE;MN02089;ES;M;1112012;3112014.0;30;I;8.0
BERLINE;MN01257;GO;M;1112012;1072014.0;30;J;4.0
BERLINE;FO07537;ES;M;1999;1999.0;29;F;6.0
BERLINE;FO08723;GO;M;5112012;4052015.0;30;I;4.0
BERLINE;RE32065;ES;A;1992;1992.0;32;J;11.0
FOURGONNETTE;RE18001;GO;M;1983;1994.0;30;L;7.0
FOURGONNETTE;RE43051;GO;M;1984;1985.0;30;I;8.0
BERLINE;SE02255;ES;M;1997;1998.0;28;F;6.0
BERLINE;RE07229;ES;M;1997;1998.0;28;D;4.0
BREAK;OP05009;ES;M;1982;9999.0;31;A;14.0
CABRIOLET;BM73351;ES;M;1072016;1062017.0;38;Q;15.0
FOURGONNETTE;CI39006;GO;M;1997;1998.0;28;H;8.0
BERLINE;FI45064;GO;M;27092012;10022015.0;32;L;6.0
BERLINE;FO28573;GO;M;15072015;14052018.0;31;K;5.0
FOURGONNETTE;RE78119;GO;M;29012013;1012014.0;30;K;5.0
4x4-SUV;JP01107;GO;A;1092016;;33;P;13.0
FOURGONNETTE;FO15257;GO;M;1998;1042000.0;32;N;8.0
BERLINE;RE34035;ES;M;1990;1990.0;32;K;9.0
BERLINE;BM27070;GO;A;10032004;1032005.0;37;R;14.0
MONOSPACE;RE67098;GO;M;18072005;10072006.0;31;M;6.0
FOURGONNETTE;VW10010;GO;M;1991;1995.0;31;M;8.0
BERLINE;VO32283;GO;M;11022013;17102013.0;34;P;8.0
BERLINE;VW28271;ES;M;1082002;1012003.0;37;P;17.0
BERLINE;CI04137;ES;M;1994;1996.0;28;E;4.0
FOURGONNETTE;RE18005;GO;M;1981;1989.0;31;K;8.0
BERLINE;FI04235;GO;M;19052017;;29;H;5.0
FOURGONNETTE;TA10023;ES;A;1980;9999.0;25;A;6.0
FOURGONNETTE;MZ05008;GO;M;1999;15102002.0;31;M;10.0
BERLINE;BM25231;ES;M;27032007;22092009.0;38;Q;13.0
BERLINE;SK08085;GO;M;1092008;7112011.0;33;L;8.0
MONOSPACE;VW50043;GO;M;13032014;28042015.0;30;L;5.0
FOURGONNETTE;FI09079;ES;M;1995;1995.0;29;F;8.0
BERLINE;FI19101;ES;S;15062012;1042015.0;33;L;9.0
COUPE;BM68066;ES;A;2072012;1032015.0;41;HC;34.0
CAMIONNETTE;BE01018;ES;M;1984;1988.0;30;G;11.0
FOURGONNETTE;FO15011;ES;M;1986;1987.0;30;F;11.0
BERLINE;SE02087;ES;M;1992;1992.0;30;E;6.0
BERLINE;BM66168;ES;A;1032011;1072013.0;39;U;20.0
BERLINE;BM25239;ES;M;27032007;1092007.0;37;Q;13.0
4x4-SUV;JP03069;GO;A;2052017;19122017.0;36;S;16.0
FOURGONNETTE;FI39112;GO;M;1072006;7022011.0;28;I;5.0
MONOSPACE;PE42101;GO;S;4112013;29062015.0;31;N;6.0
BERLINE;RE34009;GO;M;1991;1991.0;29;L;7.0
BERLINE;SE12140;GO;M;15122009;1052010.0;31;L;5.0
4x4-SUV;ME42008;ES;M;1995;1996.0;30;P;13.0
MONOSPACE;VW34103;ES;M;1032006;1082006.0;32;L;7.0
FOURGONNETTE;MZ15178;GO;M;1999;1999.0;29;H;8.0
BERLINE;FI40062;ES;M;1092004;2112004.0;34;K;11.0
4x4-SUV;LR10022;GO;A;1092015;;32;O;8.0
AUTRE;RE82033;GO;M;1062009;1092010.0;34;M;9.0
