Carrosserie;Code_vehicule;Alimentation;Boite_vitesse;Date_debut_comerc;Date_fin_comerc;Groupe_vehicule;Classe_vehicule;Puissance_vehicule
FOURGONNETTE;FI39168;GO;M;25012010;1012015.0;31;J;5.0
FOURGONNETTE;FO07379;GO;M;1994;1995.0;28;G;7.0
MONOSPACE;VW36120;GO;M;2042009;29042010.0;33;M;8.0
MONOSPACE;PE43152;GO;M;2022015;1022017.0;32;N;6.0
4x4-SUV;NA06005;GO;M;1984;1986.0;30;K;11.0
LUDOSPACE;DC05037;GO;M;1072015;;29;G;5.0
BERLINE;VO25207;GO;M;1102004;16042010.0;31;M;6.0
MONOSPACE;VW34245;GO;M;7102010;12062015.0;33;M;8.0
4x4-SUV;LD01033;ES;M;1062013;1032016.0;27;G;10.0
4x4-SUV;AO01005;ES;M;1989;1989.0;28;D;8.0
BERLINE;DS03092;ES;M;3042018;1062018.0;32;L;6.0
BERLINE;FO21221;GO;M;1999;1042000.0;31;K;6.0
BERLINE;HO03144;ES;M;1012002;1092005.0;36;L;13.0
BERLINE;OP06585;ES;M;15092006;14032007.0;30;H;5.0
MONOSPACE;PE42115;GO;M;2022015;3112016.0;31;M;6.0
4x4-SUV;TO12181;GO;M;26052010;2012012.0;33;S;10.0
BERLINE;RE66162;ES;A;1092003;18072005.0;31;K;7.0
BREAK;CI07038;GO;M;1987;1987.0;28;I;7.0
BERLINE;VW49165;ES;S;24042014;28042015.0;32;L;6.0
BERLINE;VW49353;GO;M;28042015;17012017.0;32;L;5.0
4x4-SUV;JP01005;ES;M;1994;1994.0;30;K;14.0
BERLINE;BM58446;ES;A;1102010;2072012.0;32;N;7.0
FOURGONNETTE;PE26141;GO;M;2000;5062000.0;33;P;8.0
CABRIOLET;JA05001;ES;A;1989;1989.0;38;U;29.0
4x4-SUV;LD01031;ES;M;1062013;1012014.0;27;F;10.0
BREAK;PE01006;GO;M;1989;1989.0;28;M;10.0
BERLINE;VO32134;GO;A;1122006;10042009.0;34;P;10.0
FOURGONNETTE;FI09042;GO;M;1992;1993.0;28;H;8.0
MONOSPACE;ME46132;GO;A;2012015;1042016.0;33;R;8.0
MONOSPACE;HD17024;ES;M;2012007;1072007.0;30;I;7.0
4x4-SUV;LR07105;GO;M;22092003;12092005.0;30;N;8.0
4x4-AUTRES;LR02140;GO;A;30062014;31122015.0;35;T;17.0
FOURGONNETTE;RE56066;GO;M;1032004;18072005.0;27;H;6.0
MONOSPACE;FO38039;ES;S;21032016;1092017.0;30;J;6.0
BERLINE;MG04009;ES;M;13122002;1012005.0;36;O;13.0
FOURGONNETTE;PE41112;GO;M;4052015;4072016.0;28;J;5.0
BERLINE;RE71387;ES;A;28092010;4012011.0;31;J;7.0
BERLINE;SE16063;ES;S;16012013;29042013.0;28;F;4.0
MONOSPACE;OP30058;GO;A;23092010;20012012.0;30;K;6.0
FOURGONNETTE;FO15147;ES;M;1978;1986.0;29;G;11.0
FOURGONNETTE;CI36001;GO;M;1994;2012001.0;29;J;6.0
CABRIOLET;BM73507;ES;M;1062017;2072018.0;33;O;7.0
FOURGONNETTE;RE10031;GO;M;1992;1993.0;30;M;8.0
BERLINE;LA15014;GO;M;2000;2000.0;31;L;6.0
BERLINE;RO28062;ES;M;1092003;1092003.0;33;M;8.0
BERLINE;FO08219;GO;M;1993;1993.0;27;D;5.0
MONOSPACE;NA37007;GO;M;1012006;5112007.0;28;H;4.0
AUTRE;AU42293;ES;S;23042015;28042016.0;38;S;15.0
FOURGONNETTE;PE41160;EL;V;4072016;;27;M;6.0
BERLINE;AU19528;ES;S;13092012;19052016.0;35;O;10.0
BERLINE;KA02007;ES;A;1996;1996.0;29;F;7.0
4x4-SUV;LR10025;GO;A;1092015;;32;R;8.0
FOURGONNETTE;LL01006;GO;M;2000;20062000.0;31;M;8.0
BREAK;HO03017;ES;A;1990;1992.0;29;I;7.0
PICK-UP;FI38017;GO;M;1012012;1072014.0;30;J;5.0
MONOSPACE;FI49065;ES;M;1062015;1092017.0;30;J;5.0
FOURGONNETTE;ME37038;GO;M;1997;1997.0;32;L;12.0
FOURGONNETTE;CI52030;GO;S;1042011;1062015.0;29;I;5.0
MONOSPACE;RE67086;ES;A;1042005;18072005.0;31;L;7.0
BERLINE;RO18001;GO;M;1991;1993.0;30;J;5.0
BERLINE;CI34002;ES;M;1993;1995.0;32;J;7.0
COUPE;BM71525;GO;A;1032017;;39;Q;15.0
FOURGONNETTE;GM02002;ES;M;1988;1992.0;26;C;6.0
BREAK;CI07037;GO;M;1986;1987.0;28;I;7.0
BERLINE;RE71414;GP;M;4042011;1122011.0;29;H;4.0
4x4-SUV;JP03014;ES;A;1999;2042004.0;35;R;18.0
MONOSPACE;FO35101;GO;M;2072018;;34;O;8.0
BERLINE;VW29052;ES;M;4052004;1122004.0;28;F;4.0
PICK-UP;NA36017;GO;A;2072007;1112010.0;33;O;8.0
BERLINE;AU19735;GO;M;24042014;19052016.0;32;L;5.0
FOURGONNETTE;FI03039;GO;M;1092010;;30;H;5.0
4x4-SUV;ME42074;ES;A;27042012;18062015.0;40;HC;47.0
CABRIOLET;CI58125;ES;M;1102014;1042015.0;31;M;5.0
CAMIONNETTE;SE17085;GO;M;23042014;12052015.0;29;H;5.0
BERLINE;FI04076;ES;M;1995;1995.0;25;A;4.0
BERLINE;SE12091;GO;S;1012008;18022009.0;31;K;6.0
4x4-AUTRES;JP03027;GO;A;9062005;9062005.0;35;Q;15.0
MONOSPACE;RE58118;GO;A;2092002;2092002.0;30;K;6.0
BERLINE;PE18125;ES;A;1996;1997.0;30;G;6.0
BERLINE;CI40083;ES;M;1999;1999.0;31;I;6.0
MONOSPACE;RE81334;GO;M;6072010;28092010.0;31;M;6.0
4x4-SUV;FO23012;GO;M;1995;1995.0;30;M;11.0
FOURGONNETTE;SE02155;ES;A;1994;1996.0;30;H;10.0
BERLINE;PE15020;ES;M;1979;1981.0;31;H;11.0
4x4-SUV;TO12047;GO;M;1995;1995.0;34;R;17.0
BERLINE;RO29071;GO;M;1032004;1032004.0;31;I;6.0
4x4-SUV;LR02123;GO;A;1072009;17062010.0;35;S;17.0
BERLINE;RE53189;GO;M;1999;1999.0;28;I;5.0
BERLINE;SE15101;GO;M;1102010;29042013.0;35;M;9.0
LUDOSPACE;VW01038;GO;M;1012005;4062010.0;31;J;6.0
4x4-SUV;SZ10040;ES;A;15012007;5042010.0;26;I;8.0
CABRIOLET;SB01088;ES;M;1995;1995.0;36;Q;8.0
BERLINE;BM42018;ES;A;1092007;2112008.0;39;HC;22.0
BERLINE;PE28188;GP;M;1999;1999.0;32;K;7.0
PICK-UP;TO11021;GO;M;1032007;26052010.0;33;J;8.0
MONOSPACE;MI13020;ES;M;1102002;15052003.0;29;H;6.0
FOURGONNETTE;RE78196;GO;M;3062014;1062016.0;29;L;5.0
FOURGONNETTE;PE26140;GO;M;2000;5062000.0;32;O;8.0
FOURGONNETTE;ME37068;GO;M;2000;2004.0;34;N;7.0
BERLINE;RE30045;ES;M;1989;1992.0;30;H;7.0
CABRIOLET;RE66137;ES;M;15092003;15092003.0;33;M;9.0
BERLINE;BM66478;GO;A;1072013;1072014.0;39;T;20.0
FOURGONNETTE;PE27028;GO;M;2000;1042000.0;31;J;8.0
FOURGONNETTE;FI03006;ES;M;1988;1990.0;26;B;6.0
BERLINE;CV16020;GO;M;1092011;31122014.0;28;H;4.0
BERLINE;RE74212;GO;A;1092014;6102015.0;35;O;10.0
CABRIOLET;MN01747;GO;A;1042018;;31;N;6.0
MONOSPACE;ME46088;GO;A;2102014;;35;R;11.0
BERLINE;RE34070;ES;A;1990;1991.0;33;L;11.0
BERLINE;RE37009;ES;M;1982;1984.0;25;D;4.0
FOURGONNETTE;PE27013;ES;M;1998;1042000.0;29;I;9.0
BERLINE;KA16110;GO;M;1012011;1012012.0;31;J;6.0
BERLINE;FO08120;GO;M;1988;1988.0;26;D;4.0
BERLINE;KA14040;ES;M;1072011;9012014.0;27;C;4.0
BERLINE;OP17706;GO;M;16062014;22062016.0;32;L;7.0
FOURGONNETTE;VW27001;GO;M;1998;1999.0;32;O;8.0
BERLINE;SR01040;ES;M;1102003;1092004.0;33;M;8.0
BERLINE;AU37304;GO;M;23042015;4102016.0;36;Q;11.0
BERLINE;AU28331;ES;S;25042013;24042014.0;33;N;7.0
FOURGONNETTE;CI36099;GO;M;2000;2012001.0;32;L;8.0
FOURGONNETTE;FI28060;GO;M;2000;1102001.0;31;L;9.0
FOURGONNETTE;RE78240;GO;M;1062016;;28;J;5.0
FOURGONNETTE;CI36079;GO;M;2000;2012001.0;31;L;8.0
BERLINE;AU12051;GO;M;1983;1986.0;28;K;5.0
MONOSPACE;RE58077;GO;M;3092001;15112001.0;30;K;6.0
BREAK;OP13130;ES;A;1992;1994.0;32;L;9.0
BERLINE;BM54005;ES;A;1032005;2112008.0;41;HC;36.0
BREAK;FO13092;ES;A;1983;1984.0;31;G;10.0
MONOSPACE;TO37105;GO;M;3022015;1012016.0;31;M;6.0
4x4-SUV;ME42053;ES;A;1062005;17012006.0;35;V;23.0
BERLINE;RE53147;ES;M;1998;1998.0;31;I;7.0
BERLINE;CI17002;ES;M;1970;1980.0;27;D;6.0
MONOSPACE;BM73552;GO;M;1022018;;34;N;8.0
CABRIOLET;VW02175;GO;S;20012015;1102015.0;32;N;8.0
MONOSPACE;VW34407;GO;S;13052016;;32;N;6.0
4x4-SUV;NA20024;ES;M;1997;1997.0;31;N;14.0
BERLINE;CI62012;GO;S;14112011;1102013.0;34;Q;8.0
COUPE;TO04026;ES;M;1102000;1112001.0;36;N;
BERLINE;VW49546;GO;S;29092016;17012017.0;34;M;8.0
FOURGONNETTE;FI10031;ES;M;1986;1989.0;26;B;6.0
BERLINE;ME38267;ES;M;1999;2000.0;33;M;9.0
BERLINE;SE16033;ES;M;1042012;11102012.0;28;F;4.0
FOURGONNETTE;FI26080;GO;M;1997;1997.0;29;F;7.0
FOURGONNETTE;PE29006;GO;M;1997;1998.0;28;H;8.0
BREAK;ME39072;GO;A;1995;1995.0;34;S;11.0
PICK-UP;NA36018;GO;A;2072007;1112010.0;33;O;8.0
BERLINE;FI26227;ES;M;7062003;1072004.0;29;F;5.0
BERLINE;OP09095;GO;M;1987;1988.0;28;G;5.0
4x4-SUV;NA06025;GO;M;1995;1997.0;29;L;9.0
BERLINE;PE36038;ES;M;10012012;1072013.0;27;F;4.0
BERLINE;SE02906;ES;S;8032013;4102013.0;31;J;6.0
BREAK;ME14023;ES;A;1993;1993.0;36;Q;16.0
BERLINE;SK07401;GO;M;1052015;2052017.0;30;J;4.0
BREAK;FO07130;ES;M;1991;1992.0;29;G;5.0
FOURGONNETTE;VW16118;GO;M;1999;2000.0;30;L;10.0
FOURGONNETTE;PE08009;GO;M;1980;1980.0;27;C;6.0
CABRIOLET;CI58044;ES;M;2052013;1042015.0;29;J;4.0
FOURGONNETTE;VW16084;GO;M;1996;1996.0;28;I;8.0
FOURGONNETTE;RE56062;GO;M;15012003;15012003.0;28;H;6.0
BERLINE;AU17005;ES;A;1996;1997.0;39;T;21.0
FOURGONNETTE;RE78260;GO;S;4042017;;29;K;5.0
BERLINE;RE71484;ES;M;3042012;23102012.0;29;F;5.0
FOURGONNETTE;FI03064;ES;M;21112011;1092016.0;28;G;8.0
BERLINE;OP16146;ES;M;1998;1998.0;31;I;7.0
BERLINE;AU33112;ES;V;15092008;23042015.0;32;N;7.0
FOURGONNETTE;FO15293;GO;M;2000;9122002.0;32;M;8.0
BREAK;VW11208;GO;M;1993;1994.0;29;K;5.0
BERLINE;FI19184;ES;M;1042014;1012017.0;29;I;4.0
BERLINE;FI09001;GO;M;1991;1993.0;27;F;6.0
BERLINE;CI59131;GO;M;1012015;1092016.0;33;M;7.0
BERLINE;BM70380;GO;A;1072013;1032016.0;37;R;12.0
FOURGONNETTE;FO15026;GO;M;1978;1986.0;31;J;9.0
COUPE;FO04030;ES;M;1972;1972.0;30;G;11.0
FOURGONNETTE;ME37053;GO;M;2000;2004.0;32;M;9.0
BERLINE;VW28006;ES;A;1998;1998.0;31;I;10.0
BERLINE;HD24118;ES;S;2072018;;31;I;5.0
4x4-SUV;SG03013;GO;M;1062013;1102013.0;32;L;9.0
4x4-SUV;LR08039;GO;A;13092013;15042015.0;38;HC;23.0
FOURGONNETTE;RE78184;GO;M;3062014;1062016.0;30;K;5.0
CABRIOLET;ST03001;ES;S;3012003;7032006.0;27;H;4.0
BERLINE;RE07138;ES;M;1994;1996.0;29;I;7.0
4x4-SUV;LD01017;ES;M;1052004;1092004.0;27;D;8.0
4x4-SUV;NA20042;GO;M;1999;1071999.0;31;M;10.0
FOURGONNETTE;RE78270;GO;S;4042017;;29;L;5.0
FOURGONNETTE;VW01274;ES;S;1072015;;32;K;7.0
FOURGONNETTE;CI39158;GO;M;23122006;2052008.0;29;I;6.0
FOURGONNETTE;FO15285;GO;M;2000;2004.0;32;N;8.0
BERLINE;RE07537;GO;M;2092002;15012003.0;28;G;4.0
FOURGONNETTE;RE78281;EL;V;4072017;;27;M;7.0
BERLINE;CI47145;ES;M;4072008;2082010.0;32;J;7.0
BERLINE;IF05022;GO;A;1042016;1072016.0;36;P;9.0
BREAK;OP13011;GO;A;1987;1988.0;32;L;7.0
LIMOUSINE;OP13124;ES;A;1992;1992.0;36;T;14.0
CAMIONNETTE;RE64140;GO;M;7042010;4012011.0;33;O;7.0
BERLINE;IF10015;GO;M;1112015;1022018.0;31;N;5.0
BERLINE;VO22031;ES;M;1995;1996.0;35;N;11.0
FOURGONNETTE;OP06266;GO;M;1996;2000.0;27;E;7.0
BERLINE;DW06005;ES;M;2000;20062000.0;26;A;4.0
FOURGONNETTE;PE41115;GO;M;4052015;4072016.0;29;K;5.0
BERLINE;SE02202;GO;M;1996;1997.0;29;G;6.0
CABRIOLET;CI58063;ES;M;1102013;1102014.0;31;L;6.0
BREAK;RE33013;ES;M;1987;1992.0;29;H;7.0
MONOSPACE;RE58064;ES;M;17042001;15112001.0;32;L;9.0
BREAK;CI30096;GO;M;1996;1996.0;29;H;6.0
FOURGONNETTE;FO15110;ES;M;1986;1989.0;31;I;11.0
BERLINE;ME63065;GO;A;12042013;18012016.0;39;R;13.0
BERLINE;RE51089;ES;M;1998;1998.0;31;I;7.0
BERLINE;MZ17007;ES;M;1981;1983.0;29;F;8.0
BERLINE;MN01425;ES;M;2112015;1032017.0;36;L;11.0
FOURGONNETTE;PE29155;GO;M;2012007;5052008.0;29;J;6.0
FOURGONNETTE;TO10012;GO;M;1986;1989.0;29;I;10.0
CAMIONNETTE;RE64139;GO;A;7042010;4012011.0;33;P;7.0
BERLINE;DC02046;ES;M;31082011;23102012.0;28;C;5.0
BERLINE;FI04192;GO;M;1022013;1062015.0;28;H;4.0
COUPE;OP03004;ES;M;1991;1992.0;34;O;10.0
FOURGONNETTE;FI39310;GO;M;14062016;1022018.0;31;J;5.0
BERLINE;NA09145;GO;M;23092004;1012006.0;33;L;8.0
FOURGONNETTE;CI05006;ES;M;1984;1990.0;28;A;7.0
BERLINE;PE36014;GO;M;5032007;30062008.0;27;F;3.0
BERLINE;ME39069;GO;A;1995;1995.0;33;Q;14.0
MONOSPACE;RE64082;GO;A;11012007;2042007.0;33;Q;10.0
4x4-SUV;BT01003;ES;M;1993;1995.0;29;K;9.0
MONOSPACE;CI56048;GO;M;28092012;1042015.0;31;K;6.0
BERLINE;AU19022;ES;M;1999;1082002.0;34;N;9.0
BERLINE;AU06109;ES;A;1985;1985.0;32;L;10.0
MONOSPACE;VW34080;GO;M;2062005;1122005.0;31;L;6.0
MONOSPACE;CI41015;GO;M;28122002;29082005.0;30;K;5.0
MONOSPACE;FO34173;ES;M;7042015;26022018.0;33;L;8.0
FOURGONNETTE;RE43094;GO;M;1995;1997.0;29;K;10.0
BERLINE;AR08005;ES;M;1981;1982.0;34;H;11.0
FOURGONNETTE;CI54115;GO;M;1072013;17032014.0;30;K;5.0
LUDOSPACE;PE29132;GO;M;3102005;28092006.0;28;J;5.0
MONOSPACE;CI56076;ES;M;1012015;3072017.0;31;I;6.0
FOURGONNETTE;CI39149;GO;M;23122006;2052008.0;28;I;6.0
BERLINE;OP06698;ES;M;25062012;2012014.0;32;I;6.0
FOURGONNETTE;RE56005;GO;M;1998;2000.0;26;G;7.0
CABRIOLET;BM59467;GO;M;1092007;30032010.0;36;R;11.0
MONOSPACE;OP30060;GO;A;23092010;20012012.0;30;L;6.0
FOURGONNETTE;OP17270;GO;M;2000;5052003.0;29;H;7.0
4x4-SUV;TO12126;GO;A;6012006;7082006.0;32;Q;11.0
BREAK;FO13182;ES;M;1985;1985.0;30;J;8.0
BERLINE;BM69445;ES;M;1032015;1072016.0;35;N;10.0
BERLINE;LX02025;ES;V;6112015;;33;Q;9.0
BERLINE;BM59267;ES;M;27032007;16092008.0;39;Q;21.0
4x4-AUTRES;LR02141;GO;A;9112015;28092016.0;34;R;13.0
BERLINE;ZA01009;ES;M;1984;1987.0;26;A;5.0
CABRIOLET;BM76006;ES;A;1022018;;37;Z;11.0
MONOSPACE;TO37117;GO;M;1012016;14042018.0;31;M;6.0
BERLINE;FO08052;ES;M;1984;1986.0;26;B;4.0
FOURGONNETTE;FI39182;GO;M;1042011;1012015.0;30;J;5.0
BERLINE;CI08026;ES;M;1982;9999.0;33;G;13.0
BERLINE;VW32015;GO;A;2122007;24042008.0;38;U;16.0
BERLINE;DC02007;GO;M;1062008;2112010.0;28;E;4.0
FOURGONNETTE;RE56044;ES;M;1052002;15012003.0;28;F;7.0
4x4-SUV;LR03043;ES;M;1993;1993.0;34;P;23.0
LUDOSPACE;FI39068;GO;M;1092004;1092004.0;30;H;6.0
BERLINE;MN01576;GO;A;1102017;;34;N;9.0
FOURGONNETTE;PE27031;GO;M;2000;1042000.0;30;K;8.0
4x4-SUV;TO23001;ES;M;1995;1995.0;30;K;10.0
BERLINE;ME64170;ES;A;14042016;9012017.0;35;P;8.0
COUPE;BM67196;GO;M;1092010;1072013.0;38;S;15.0
FOURGONNETTE;CI36055;GO;M;1996;1997.0;31;N;8.0
FOURGONNETTE;CI07053;ES;M;1989;1990.0;30;H;9.0
MONOSPACE;RE10116;ES;A;15022001;2042002.0;33;O;9.0
MONOSPACE;SE14060;GO;S;1022009;15122009.0;31;L;6.0
MONOSPACE;BM73222;GO;M;1072015;1022018.0;31;N;5.0
BERLINE;TO28003;ES;M;1999;1112001.0;28;E;4.0
BERLINE;OP06087;ES;M;1988;1991.0;27;D;5.0
BERLINE;FO45125;ES;V;7052018;;32;O;7.0
FOURGONNETTE;CI54157;GO;M;1072014;1092016.0;29;K;5.0
BERLINE;PE37024;ES;M;6042006;2052007.0;30;G;6.0
BERLINE;VW49573;ES;M;29092016;17012017.0;37;N;13.0
MONOSPACE;VW50110;ES;S;20012017;1012018.0;34;M;8.0
MONOSPACE;PE43128;ES;A;2012013;4052015.0;33;N;9.0
4x4-SUV;NA06017;GO;M;1993;1995.0;30;N;11.0
BERLINE;HD24060;GO;M;2102014;2012018.0;30;J;4.0
BERLINE;BM70828;GO;A;1062016;1062018.0;36;Q;10.0
MONOSPACE;BM73037;GO;M;25092014;1022018.0;33;O;7.0
FOURGONNETTE;RE42133;GO;M;1986;1990.0;27;F;6.0
BERLINE;BM25126;ES;M;27112001;2092002.0;37;R;13.0
BERLINE;PE30512;GO;M;4102010;30042012.0;29;H;4.0
BERLINE;FO08443;GO;M;6062002;17072006.0;29;G;4.0
4x4-SUV;LR10036;GO;M;1092015;;32;O;8.0
BERLINE;RE53126;ES;M;1998;1998.0;29;H;6.0
CABRIOLET;ME66368;GO;A;27062016;29062018.0;37;R;11.0
4x4-SUV;SZ02005;ES;A;1995;1995.0;27;K;9.0
BERLINE;BM69088;ES;A;1032012;1032015.0;37;P;13.0
BERLINE;TA13002;ES;M;1978;9999.0;28;A;7.0
FOURGONNETTE;PE09027;ES;M;1983;9999.0;28;A;8.0
FOURGONNETTE;MZ13029;GO;M;1997;1999.0;28;F;7.0
MONOSPACE;SK09030;ES;M;1072008;1012009.0;30;I;7.0
BREAK;CI28105;GO;M;1995;1996.0;32;P;6.0
4x4-SUV;MI05057;GO;M;1996;1996.0;31;O;11.0
BERLINE;PE32546;GO;M;15112005;28092006.0;30;J;5.0
BERLINE;CI40014;GO;M;1998;1998.0;29;H;6.0
LUDOSPACE;VW01300;GO;M;1072015;1012018.0;31;K;5.0
BERLINE;SB01023;ES;M;1984;1988.0;35;M;9.0
CABRIOLET;VW28125;ES;M;2000;20062000.0;29;J;6.0
4x4-AUTRES;LR08047;GO;A;15042015;2102017.0;37;HC;20.0
BREAK;HO03027;ES;M;1985;1987.0;30;H;7.0
MONOSPACE;SE14077;ES;S;1052009;27082010.0;34;M;9.0
FOURGONNETTE;PE07066;GO;M;1985;1987.0;27;E;7.0
MONOSPACE;SE10008;ES;A;1998;1998.0;32;M;13.0
FOURGONNETTE;SE02209;ES;M;1996;1996.0;26;C;6.0
MONOSPACE;OP24059;GO;M;1092004;1022005.0;30;K;6.0
4x4-SUV;LR07054;GO;M;26092002;1042003.0;30;O;8.0
CAMIONNETTE;BE01015;ES;M;1978;1988.0;29;F;11.0
BREAK;OP13026;GO;A;1987;1988.0;32;N;7.0
FOURGONNETTE;FO15105;ES;M;1986;1986.0;31;H;11.0
BERLINE;BM66484;ES;M;1072013;13102016.0;39;S;15.0
BERLINE;NA09023;ES;M;1993;1994.0;31;H;7.0
FOURGONNETTE;CI36042;ES;M;1996;1062000.0;32;L;10.0
4x4-AUTRES;LR10032;GO;M;15092015;;34;O;10.0
MONOSPACE;RE65119;GO;A;6072009;28092010.0;33;P;10.0
BERLINE;FI09085;GO;M;1995;1995.0;28;H;7.0
BERLINE;FO08469;ES;M;1032003;17062003.0;28;F;5.0
BERLINE;RE53083;GO;M;1997;1997.0;29;I;6.0
BERLINE;RE71108;ES;M;10072006;17122007.0;31;J;7.0
FOURGONNETTE;MZ05001;ES;M;1978;9999.0;29;A;9.0
MONOSPACE;RE97109;GO;M;2102018;;32;M;6.0
MONOSPACE;RE67044;ES;A;1092003;18072005.0;31;K;7.0
PICK-UP;NA36073;GO;A;2052018;;34;Q;8.0
BERLINE;SE02564;ES;M;1052008;1122009.0;30;G;5.0
BERLINE;VO25153;ES;M;1072001;17022002.0;33;M;9.0
4x4-SUV;JP03002;ES;A;1993;1994.0;33;O;21.0
4x4-SUV;SZ02009;ES;M;1995;1995.0;28;I;9.0
FOURGONNETTE;RE04001;GO;M;1986;1990.0;31;N;8.0
4x4-SUV;SZ09011;ES;A;15012001;1022002.0;31;M;11.0
FOURGONNETTE;PE25019;GO;M;1997;1997.0;31;N;8.0
FOURGONNETTE;CI11025;GO;M;1989;1990.0;30;L;10.0
CABRIOLET;VW02225;ES;S;20072016;;32;M;8.0
FOURGONNETTE;FO08134;GO;M;1988;1988.0;26;E;6.0
BERLINE;MI19013;ES;M;10092015;1032016.0;29;F;4.0
MONOSPACE;RE58038;GO;A;2000;2012001.0;30;L;6.0
MONOSPACE;RE81103;ES;M;6072009;9032010.0;32;M;8.0
4x4-SUV;LR01027;GO;M;1999;1012001.0;29;M;10.0
4x4-SUV;LR07062;GO;A;26092002;1042003.0;30;O;8.0
BREAK;MT04004;ES;M;1980;9999.0;28;D;8.0
4x4-SUV;LR08059;ES;A;2102017;;38;W;17.0
LUDOSPACE;PE41056;GO;M;4072011;5032012.0;30;J;5.0
FOURGONNETTE;ME15074;ES;M;1990;1992.0;32;R;17.0
FOURGONNETTE;FI34029;ES;A;1997;10061997.0;31;J;9.0
BERLINE;RE71325;GO;M;9032010;2112010.0;30;I;5.0
BERLINE;PE53005;GO;A;3092018;;35;O;8.0
MONOSPACE;RE81062;GO;A;23042009;1122011.0;33;N;9.0
BERLINE;NA09035;ES;A;1994;1995.0;33;K;11.0
BERLINE;AU49053;GO;M;19052016;27042017.0;34;N;7.0
MONOSPACE;RE57001;GO;M;1998;1998.0;33;P;7.0
FOURGONNETTE;PE07082;ES;M;1986;1987.0;27;D;8.0
CABRIOLET;FI26092;ES;M;1997;1998.0;29;I;6.0
FOURGONNETTE;CI54109;GO;M;1072013;17032014.0;28;J;5.0
4x4-SUV;ME42004;GO;M;1995;1997.0;32;Q;12.0
CAMIONNETTE;BE02004;GO;M;1987;1988.0;29;H;8.0
MONOSPACE;RE97116;ES;M;2102018;;31;L;6.0
BERLINE;MN01391;GO;A;3112014;1022018.0;32;L;6.0
MONOSPACE;PE43092;ES;M;5032012;4052015.0;32;L;7.0
BREAK;ME03019;ES;M;1986;1988.0;32;N;9.0
LUDOSPACE;FI03071;GO;M;21112011;1052015.0;28;I;4.0
FOURGONNETTE;RE78010;GO;M;2062008;1122011.0;27;H;6.0
FOURGONNETTE;FO15070;GO;M;1986;1987.0;29;G;10.0
4x4-SUV;LR10017;ES;A;3092014;;35;R;15.0
FOURGONNETTE;FO15270;GO;M;2000;4042005.0;31;L;8.0
MONOSPACE;PE33110;GO;M;4072011;2012013.0;33;P;8.0
CABRIOLET;BM73344;ES;A;1072016;1062017.0;36;P;10.0
BERLINE;PE50084;ES;S;30042018;;27;G;4.0
FOURGONNETTE;FI09030;ES;M;1991;1991.0;29;E;8.0
FOURGONNETTE;FI39269;GO;M;1012015;;30;K;5.0
MONOSPACE;BM73665;ES;S;1022018;;33;O;7.0
FOURGONNETTE;FI34030;ES;M;1997;10061997.0;33;J;10.0
FOURGONNETTE;RE78095;GO;M;29012013;13032013.0;28;J;5.0
BERLINE;OP06750;GO;M;1122014;1092017.0;30;I;4.0
BERLINE;RE32084;ES;M;1993;1993.0;35;N;9.0
BERLINE;LR09025;ES;A;15092011;1062014.0;36;P;15.0
FOURGONNETTE;VW01155;GO;M;28072010;1072015.0;28;I;5.0
BERLINE;ME49159;ES;M;17012006;4012011.0;35;M;12.0
BERLINE;RE48040;ES;A;1995;1995.0;35;Q;16.0
4x4-SUV;NA20022;ES;M;1997;1997.0;32;L;14.0
MONOSPACE;CH10030;ES;A;22112004;22112004.0;33;Q;
BERLINE;AU28652;GO;M;31072018;;32;M;6.0
BREAK;AU06207;ES;A;1994;1994.0;31;N;11.0
4x4-SUV;NA13011;GO;M;1032002;2012004.0;33;N;10.0
4x4-SUV;EB05014;GO;M;1989;1989.0;29;M;13.0
4x4-SUV;ME42055;GO;A;1092006;3062009.0;33;U;16.0
BERLINE;AR01035;ES;M;1989;1990.0;31;H;8.0
PICK-UP;LR01051;GO;M;1102002;1092003.0;29;M;8.0
BREAK;OP13080;ES;M;1987;1991.0;33;M;10.0
BERLINE;VO14065;GO;M;1995;1996.0;30;J;5.0
MONOSPACE;VW25207;GO;M;20052015;3052018.0;35;P;10.0
BERLINE;VW49259;GO;S;2022015;28042015.0;31;M;5.0
4x4-AUTRES;JP01023;ES;M;3012005;31032007.0;32;L;14.0
BERLINE;SE07093;ES;M;1102004;1012007.0;33;L;9.0
FOURGONNETTE;RE43060;GO;M;1989;1994.0;29;I;8.0
BERLINE;OP06059;ES;M;1986;1987.0;27;D;5.0
FOURGONNETTE;PE10030;ES;M;1986;1989.0;31;F;11.0
FOURGONNETTE;RE42092;ES;M;1990;1990.0;27;D;7.0
BERLINE;AU19158;ES;S;3012005;3012005.0;36;O;12.0
BERLINE;OP06084;ES;M;1989;1991.0;27;C;5.0
BERLINE;ME49467;GO;A;9012017;1062018.0;35;P;9.0
AUTRE;MN03086;GO;M;2032015;1032016.0;29;K;5.0
FOURGONNETTE;PE26109;ES;M;2000;2000.0;32;J;10.0
CAMIONNETTE;RE65130;GO;A;7042010;4012011.0;33;P;7.0
BERLINE;OP13133;ES;A;1992;1994.0;32;L;9.0
BERLINE;ME49310;GO;A;3022014;3072015.0;35;O;9.0
BREAK;FO13042;ES;M;1983;1987.0;29;E;8.0
